oṃ sāmavedīyā chāndogyopaniṣat	One should meditate upon the syllable ‘Om’, the Udgītha; because one sings beginning with ‘Om’;
tamevaṃ devairvṛtamudgātāraṃ hāsurāḥ svābhāvikatama ātmāno jyotīrūpaṃ nāsikyaṃ prāṇaṃ devaṃ svotthena pāpmanādharmāsaṅgarūpeṇa vividhurviddhavantaḥ	When the Devas had thus selected their Udgātṛ Priest, the Asuras,ie beings characterised by inherent darkness ignorance,pierced the luminous deity of the Breath in the Nose, with Evil;
saṃsarga kṛtavanta ityarthaḥ /	that is, they contaminated it with attachment to Evil arising out of themselves
sa hi nāsikyaḥ prāṇaḥ kalyāṇagandhagrahaṇābhimānāsaṅgābhibhūtavivekavijñāno babhūva /	Thereupon the Deity of the ‘Breath in the Nose had his wisdom suppressed by the feeling of attachment in the form of the egoistic notion that the perception of sweet smell belongs to himself;
sa tena doṣeṇa pāpmasaṃsargī babhūva / tadidamuktamasurāḥ pāpmanā vividhuriti /	and through this contact, he became contaminated with evil, This is what is meant by the assertion that ‘the Asuras pierced it with evil’
yasmādāsureṇa pāpmanā viddhastasmāttena pāpmanā prerito ghrāṇaḥ prāṇo durgandhigrāhakaḥ prāṇinām /	Because the said ‘Breath in the Nose has been pierced with evil,therefore, on becoming urged by that Evil, the olfactory organ,ie the lifebreath in the Nose,comes to apprehend foul smell, among living beings
atastenobhayaṃ jighrati lokaḥ surabhi ca durgandhi ca /	It is for this reason that people smell ‘what is goodsmelling and also what is foulsmelling;
pāpmanā hyeṣa yasmādviddhaḥ /	because it has been pierced with Evil
ubhayagrahaṇamavivakṣitam / yasyobhayaṃ havirārtimārchatīti yadvat /	No significance attaches to the term ‘both’,just as in the case of the text ‘If both offeringmaterials become spoilt etc’
yadevedamapratirūpaṃ jighratīti samānaprakaraṇaśruteḥ //	which says, ‘When one does perceive improper smell, it is due to that Evil’
atha ha vācam udgītham upāsāṃ cakrire /	Then they meditated upon Speech as Udgītha;
tāṃ hāsurāḥ pāpmanā vividhuḥ /	the Asuras pierced this with evil;
tasmāt tayobhayaṃ vadati satyaṃ cānṛtaṃ ca /	hence one speaks both what is true and also what is untrue;
pāpmanā hy eṣā viddhā //	because it is pierced with evil
atha ha cakṣur udgītham upāsāṃ cakrire /	Then they meditated upon the Eye as Udgītha;
tad dhāsurāḥ pāpmanā vividhuḥ /	the Asuras pierced it with evil;
tasmāt tenobhayaṃ paśyati darśanīyaṃ cādarśanīyaṃ ca /	hence one sees both what is sightly and also what is unsightly;
pāpmanā hy etad viddham //	because it is pierced with evil
atha ha śrotram udgītham upāsāṃ cakrire /	Then, they meditated upon the Ear as Udgītha;
tad dhāsurāḥ pāpmanā vividhuḥ /	the Asuras pierced it with evil;
tasmāt tenobhayaṃ śṛṇoti śravaṇīyaṃ cāśravaṇīyaṃ ca /	hence one hears both what is agreeable to hear and what Jis disagreeable to hear;
pāpmanā hy etad viddham //	because it is pierced with evil
atha ha mana udgītham upāsāṃ cakrire /	Then they meditated upon Mind as Udgītha;
tad dhāsurāḥ pāpmanā vividhuḥ /	the Asuras pierced this with evil;
tasmāt tenobhayaṃ saṃkalpayate saṃkalpanīyaṃ ca /	hence one conceives both what should be conceived and what should not be conceived;
pāpmanā hy etad viddham //	because it is pierced with evil
mukhyaprāṇasyopāsyatvāya tadviśuddhatvānubhavārtho 'yaṃ vicāraḥ śrutyā pravartitaḥ /	This disquisition is introduced by the Vedic text for the purpose of showing that it is the ‘Breath in the Mouth’ that is pure and hence a fit object of meditation
ataścakṣurādidevatāḥ krameṇa vicāryā'sureṇa pāpmanā viddhā ityapohyante /	With this view the presiding deities of the Eye and other organs of perception are discussed in due order and then discarded on the ground of their being ‘pierced with evil’ by the A uras
atha ha vācaṃ cakṣuḥ śrotraṃ mana ityādi /	All the rest of it is as in the preceding textThey meditated upon ‘Speech, the Eye, the Ear, the Mind’
anuktā apyanyāstvagrasamādidevatā draṣṭavyāḥ /	Those organs that are not actually named here,such as the organ of;Touch, the organ of Taste and so forth,should also be understood to be included;
evamu khalvetā devatāḥ pāpmabhiḥ iti śrutyantarāt //	as is clearly declared in another Vedic text‘Thus have all these deities been pierced with evil
atha ha ya evāyaṃ mukhyaḥ prāṇas tam udgītham upāsāṃ cakrire /	Then they meditated upon that Breath which is in the Mouth, as Udgītha; when the Asuras approached it, they were smashed;
taṃ hāsurā ṛtvā vidadhvaṃsur yathāśmānam ākhaṇam ṛtvā vidhvaṃsetaivam // āsureṇa viddhatvādghrāṇādidevatā apohyāthānantaraṃ ya evāyaṃ prasiddho	Having discarded the Deities of the Olfactory and other organs on account of their being pierced by the Asuras, the Devas, thereafter, meditated upon that wellknown ‘Breath which is in the Mouth’ie which proceeds from the mouth,as Udgītha
mukhe bhavo mukhyaḥ prāṇastamudgīthamupāsāñcakrire taṃ hāsurāḥ pūrvavadṛtvā prāpya	As before, the Asuras approached this Breath also for piercing it; but on approachingie, getting atit, they were smashed;
vidadhvaṃsurvinaṣṭā abhiprāyamātreṇa /	that is, they perished through the mere intention of piercing the said Breath
kathaṃ vinaṣṭā ityatra dṛṣṭāntamāhayathā loke 'śmānamākhaṇaṃ na śakyate khanituṃ kuddālādibhirapi bhettuṃ na śakyo 'khaṇa evā'khaṇastamṛtvā sāmarthyālloṣṭaḥ pāṃsupiṇḍaḥ kṣutyantarāccāśmani kṣipto 'śmabhedanābhiprāyeṇa tasyāśmanaḥ kiñcidapyakṛtvā svayaṃ	In answer to the question,How, without having done anything to the Breath, were they smashed?the text supplies an illustrationIn the ordinary world, when a piece of stone which is solid,literally that which cannot be dug into with spades and other implements,is approachedhitby a clod of Earth,when the clod of Earth is hit at the hard and solid piece of stone,with the intention of breaking the stone,the clod, without doing anything to the stone, becomes itself shattered;
evaṃ yathāśmānam ākhaṇam ṛtvā vidhvaṃsata evaṃ haiva sa vidhvaṃsate ya evaṃvidi pāpaṃ kāmayate yaś cainam abhidāsati /	Thus, just as the clod of Earth striking a solid piece of stone is rent asunder, so also is rent asunder one who wishes ill to the person knowing this science; as also one who injures him;
sa eṣo 'śmākhaṇaḥ //	for he is a solid piece of stone
evaṃ viśuddho 'surairadharṣitatvātprāṇa iti evaṃvidaḥ prāṇātmabhūtasyedaṃ phalamāhayathāśmānamiti /	Thus, inasmuch as this Breath has not been injured by the Asuras, it is pure The Text describes the result that accrues to one who knows this essential character of the BreathJust as striking etc
eṣa eva dṛṣṭāntaḥ /	This is an illustration
evaṃ haiva sa vidhvaṃsate vinaśyati / ko 'sāvityāhaya evaṃvidi yathoktaprāṇavidi pāpaṃ tadanarhaṃ kartu kāmayata icchati	So also is rent asunder ie perishes who?One who wishes ill,what he does not deserve,to the person who knows the Breath as described above; as also one who injures him,who harms him;
yaścāpyenamabhidāsati hinasti prāṇavidaṃ pratyākrośatāḍanādi prayuṅkte so 'pyevameva	that is one who does such acts against the knower of the Science of Breath as abusing, assaulting and the like;such a one also is rent asunder in the same way as the clod of Earth
yasmātsa eṣa prāṇavitprāṇabhūtatvādaśmākhaṇa ivāśmākhaṇo 'dharṣaṇīya ityarthaḥ /	The reason for this lies in the fact that hethe man knowing the Science of Breath,is LifeBreath itself and as such, is a solid piece of stone,ie not injurable
nanu nāsikyo 'pi prāṇo vāyvātmā yathā mukhyastatra nāsikyaḥ prāṇaḥ pāpmanā viddhaḥ prāṇa eva sanna mukhyaḥ katham /	ObjectionThe Breath in the Nose also is of the nature of Air, just like the Breath in the Mouth; how then is it that the Breath in the Nose was pierced by evil, and not the Breath in the Mouth,though both are Breath?
naiṣa doṣaḥ /	There is no force in this objection
nāsikyastu sthānakaraṇavaiguṇyādviddho vāyvātmāpi sanmukhyaḥ sthānadevatābalīyastvānna viddha iti yuktam /	It is only right that, the Breath in the Nose, though of the nature of Air, was pierced on account of the defective character of its location and organ,and yet the Breath in the Mouth was not so pierced, by reason of the strength of its location and deity;
yathā vāsyādayaḥ śikṣāvatpuruṣāśrayāḥ kāryaviśeṣaṃ kurvanti nānyahastagatāstadvaddoṣavadghrāṇasacivatvādviddhā ghrāṇadevatā na mukhyaḥ //	just as such implements as the Axe and the like accomplish good work only when handled by welltrained men, and not when handled by other men The Deity of the Nose was pierced because of the defective character of the Nose, its substratum,not so the Breath in the Mouth
naivaitena surabhi na durgandhi vijānāti /	By this, verily, one cognises not what is goodsmelling, nor what is foul smelling;
apahatapāpmā hy eṣaḥ /	indeed it has destroyed evil;
tena yad aśnāti yat pibati tenetarān prāṇān avati / etam u evāntato 'vittvotkrāmati /	hence it is that whatever one eats or drinks, through this, one nourishes the other Breaths In the end, not obtaining this, the rest go out;
vyādadāty evāntata iti //	that is why one opens the mouth at the end
yasmānna viddho 'surairmukhyastasmānnaivaitena surabhi durgandhi vā vijānāti ghrāṇenaiva tadubhayaṃ vijānāti lokaḥ /	Inasmuch as the Breath in the Mouth was not pierced by the Asuras,by this one cognises not what is goodsmelling, nor what is foulsmelling; that is, people do not apprehend either of these two
ataśca pāpmakāryādarśanādapahatapāpmāpahato vināśito 'panītaḥ pāpmā yasmātso 'yamapahatapāpmā hyeṣa viśuddha ityarthaḥ /	Thus, inasmuch as the effect of evil is not perceived, it follows that it has destroyed evil; ie it has removed, discarded, evil, and hence it is pure;
yasmāccā'tmambharayaḥ kalyāṇādyāsaṅgavattvādghrāṇādayo na tathā'tmambharirmukhyaḥ kiṃ tarhi sarvārthaḥ /	specially because the olfactory and other Breaths support only themselves, being attached to what is good and agreeable; while the Breath in the Mouth is not so, it does not support itself alone, it supports all
kathamiti, ucyatetena mukhyena yadaśnāti yatpibati lokastenāśitena pītena cotarānghrāṇādīnavati pālayati /	How? AnswerWhatever one eats or drinks, through thisthrough the Breath in the Mouthby what is eaten and drunk, one nourishes,supportsthe other Breaths, Olfactory and the rest;
tena hi teṣāṃ sthitirbhavatītyarthaḥ /	that is, it is with this help that they continue to exist;
ataḥ sarvambharaḥ prāṇo 'to viśuddhaḥ /	hence the Breath in the Mouth is the nourisher of all,hence pure
kathaṃ punarmukhyāśitapītābhyāṃ sthitireṣāṃ gamyata iti, ucyateetaṃ (tamu eva)	Question How do you know that the continued existence of the Olfactory and other Breaths is due to the food and drink eaten and drunk through the Breath in the Mouth?
mukhyaṃ prāṇaṃ mukhyaprāṇasya vṛttimannapāne ityarthaḥ / antato 'nte maraṇakāle 'vittvālabdhvotkrāmati / ghrāṇādiprāṇasamudāya ityarthaḥ /	AnswerNot obtaining thisnot securing the help of the Breath in the Mouth,ie, the feeding and drinking functions of the Breath in the Mouth,in the endat the time of death,the rest,ie, the whole lot consisting of the Olfactory and other Breaths,go out
aprāṇo hi na śaknotyaśituṃ pātuṃ vā /	When one is deprived of Breath, one cannot eat and drink;
tena tadotkrāntiḥ prasiddhā ghrāṇādikalāpasya /	and hence it is wellknown that there follows the departure of the whole lot consisting of the Olfactory and other Breaths
dṛśyate hyutkrāntau prāṇasyāśiśiṣā /	As a matter of fact, it is seen that the Lifebreath actually hankers after food and drink when on the point of departure;
ato vyādadātyevā'syavidāraṇaṃ karotītyarthaḥ / taddhyannālābha utkrāntasya liṅgam //	that is why one opens the mouth,ie there is opening of the mouth; and this absence of food as shown by the hankering after food is indicative of the departed Breath
taṃ hāṅgirā udgītham upāsāṃ cakre /	Aṅgiras meditated upon this as Udgītha;
etam u evāṅgirasaṃ manyante 'ṅgānāṃ yad rasaḥ //	thus they regard it as Aṅgirasa, as this is the essence rasa of the limbs aṅgānām
taṃ hāṅgirāstaṃ mukhyaṃ prāṇaṃ hāṅgirā ityevaṅguṇamudgīthamuyāsāñcakre baka ityeva sambandhaṃ kṛtavantaḥ kecit / etamu evā'ṅgirasaṃ bṛhaspatimayāsyaṃ prāṇaṃ manyanta iti canāt /	On the strength of the text‘They regard this Aṅgirasa as the Bṛhaspati and the Āyāsya Breath’,some people have interpreted this passage as followsBakaDālbhyaspoken of later onmeditated upon the Breath in the Mouth which is ‘Aṅgiras’ as the Udgītha; and similarly the same BakaDalbhya meditated upon the Breath which is Bṛhaspati, and which is Āyāsya as described in texts and below
bhavatyevaṃ yathāśrutāsambhave,	This would be all right if the natural direct meaning of the sentence were not compatible;
sambhavati tu yathāśrutamṛṣicodanāyāmapi śrutyantaravat /	as a matter of fact, however, the natural meaning is quite compatible, even when the terms ‘Āṅgiras’ and ‘Bṛhaspati’ are taken as names of sages represented as Breath;
