.o namaḥ śrīsarvabuddhabodhisattvebhyaḥ /	Om! Adoration to all Buddhas and Bodhisattvas!Introduction Introductory Stanzas.
vimṛśyatāmapi ca tāvanmahārāja /	Moreover, great king, you must but consider this: Not only the houses, therefore, are meant, but also the (female) attendance; in other words, the epithet is indicative of the richness and magnificence of the habitations..
anyadīyaṃ kathaṃ nāma cakṣuranyatra yojyate / atha devaprabhāvo 'yaṃ tvaccakṣuḥ kimapekṣyate //	How can the eye of one person be put in the face of another? If, however, divine power may effect this, why should your eye be wanted for it? Further, Your Majesty.
cakṣuṣā kiṃ daridrasya parābhyudayasākṣiṇā\ dhanameva yato dehi deva mā sāhasaṃ kṛthāḥ // atah sa rājā tānamātyān sānunayamadhurākṣaramityuvāca-	Of what use is eyesight to a poor man? That he might witness the abundance of others? Well then, give him money; do not commit an act of rashness! Then the king addressed his ministers in soft and conciliating terms.
adāne kurute buddhiṃ dāsyāmītyabhidhāya yaḥ / sa lobhapāśaṃ prabhraṣṭamātmani pratimuñcati //	He who after promising to give, makes up his mind to withhold his gift, such a one puts on again the bond of cupidity which he had cast off before.
dāsyāmīti pratijñāya yo 'nyathā kurute manaḥ / kārpaṇyāniścitamateḥ kaḥ syātpāpatarastataḥ //	He who after promising to give, does not keep his promise, being driven from his resolution by avarice, should he not be held for the worst of men?.
sthirīkṛtyārthināmāśāṃ dāsyāmīti pratijñayā / visaṃvādanarūkṣasya vacaso nāsti niṣkṛtiḥ //	He who having strengthened the hope of the mendicants by engaging himself to give, pays them with the harsh disappointment of a refusal, for him there is no expiation.
yadapi ceṣṭaṃ devatānubhāvādeva cakṣurasya kiṃ na saṃbhavatītyatra śrūyatām-	And with respect to your asserting ‘is divine power of itself not sufficient to restore the eyesight to that man? you should be taught this.
naikakāraṇasādhyatvaṃ kāryāṇāṃ nanu dṛśyate / kāraṇāntarasāpekṣaḥ syāddevo 'pi vidhiryataḥ //	That different means are wanted to carry out purposes, is well known, indeed. For this reason even Destiny (Vidhi), though a deity, needs some means or other..
yadeva yācyeta tadeva dadyānnānīpsitaṃ prīṇayatīha dattam /	The very thing asked for must be given. gift not wished for does not afford pleasure.
kimuhyamānasya jalena toyairdāsyāmyataḥ prārthitamarthamasmai //	Of what use is water to one carried off by the stream? For this reason.
atha tasya rājño dṛḍhataravisrambhapraṇayaḥ snehāvegādanapekṣitopacāro 'mātyamukhyastaṃ rājānamityuvāca-mā tāvadbhoḥ /	shall give to this man the object he requests. After this, the first minister who more than the others had got into the intimate confidence of the king, overlooking, owing to his solicitude, the respect due to the king, spoke thus: Pray, do it not.
yā nālpena tapaḥsamādhividhinā saṃprāpyate kenaci- dyāmāsādya ca bhūribhirmakhaśataiḥ kīrti divaṃ cāpnuyāt / saṃprāptāmatipatya tāṃ nṛpatitāṃ śakrarddhivispardhinīṃ kiṃ dṛṣṭvā nayane praditsati bhavān ko 'yaṃ kutastyo vidhiḥ //	You are holding an empire, which is vying with the riches of Śakra, to the attainment of which no one can aspire without a large amount of penance and meditation, and the possession of which may pave with numerous sacrifices the way to glory and Heaven; and you care not for it! and you are willing to give away both your eyes! With what aim do you wish so? Where on earth has there been seen such a way of proceeding?.
labdhāvakāśastridaśeṣu yajñaiḥ kīrtyā samantādavabhāsamānaḥ / narendracūḍādyutirañjitāṅghriḥ kiṃ lipsamāno nu dadāsi cakṣuḥ //	By your sacrifices you have gained a place among the celestial gods, your fame is shining far and wide, your feet reflect the splendour of the head-ornaments of the kings (your vassals) what then is it that you long for to give up your eyesight?.
atha śakro devendrastādṛśamṛddhyabhisaṃskāraṃ cakre yathā dadarśa sa rājā saparijanastattasya cakṣuścakṣuḥsthāne pratiṣṭhitam / athonmiṣitaikacakṣuṣaṃ cakṣuryācanakamabhivīkṣya sa rājā parameṇa praharṣeṇa samāpūrṇahṛdayo dvitīyamapyasmai nayanaṃ prāyacchat / tataḥ sa rājā nayane pradāya vipadmapadmākaratulyavaktraḥ /	Now Sakra, the Lord of the Devas, by the power of magic produced an illusion of such a kind that the king and his bystanders saw that eye filling up the eye hole of the old Brāhman. When the king beheld the eye-asker in the possession of one unclosed eye, his heart expanded with the utmost delight, and he presented him with the other eye too. The eyes being given away, the king's visage looked like a lotus-pond without lotuses, yet it bore the expression of satisfaction, not shared however by the citizens.
paurairasādhāraṇatuṣṭirāsīt samagracakṣurdadṛśe dvijaśca //	On the other hand, the Brāhman was seen with sound eyes.
antaḥpure 'tha manujādhipateḥ pure ca śokāśrubhirvasumatī siṣice samantāt /	In the inner apartments of the palace as well as in the town, everywhere tears of sorrow moistened the ground.
śakrastu vismayamavāpa parāṃ ca tuṣṭiṃ saṃbodhaye nṛpamakampyamatiṃ samīkṣya // atha śakrasya vismayāvarjitahṛdayasyaitadabhavat-	But Śakra was transported with admiration and satisfaction, seeing the king's unshaken intention of attaining Supreme Wisdom (Sambodhi). And in this state of mind he entered into this reflection.
aho dhṛtiraho sattvamaho sattvahitaiṣitā / pratyakṣamapi karmedaṃ karotīva vicāraṇām //	What a constancy! What a goodness and a longing for the good of the creatures! Though witnessed the fact, can scarcely believe it.
tannāyamāścaryasattvaściramimaṃ parikleśamanubhavitumarhati /	It is not right, then, that this person of marvellous goodness should endure this great hardship for a long time.
yataḥ prayatiṣye cakṣurasyopāyapradarśanādutpādayitum / atha tasya rājñaḥ kramātsaṃrūḍhanayanavraṇasyāvagītapratanūbhūtāntaḥpurapaurajānapadaśokasya pravivekakāmatvādudyānapuṣkariṇyāstīre kusumabharāvanatarucirataruvaranicite mṛdusurabhiśiśirasukhapavane madhukaragaṇopakūjite paryaṅkeṇa niṣaṇṇasya śakro devendraḥ purastātprādurabhavat / ka eṣa iti ca rājñā paryanuyukto 'bravīt-	will try to render him his eyesight by showing him the way for it. Afterwards, when time had healed the wounds caused by the operation, and lessened and almost lulled the sorrow of the inhabitants of the palace, the town, and the country, it happened one day that the king, desirous of solitary retirement, was sitting with crossed legs in his garden on the border of a pond of lotuses. That spot was beset by fair and fine trees bent down by the weight of their flowers; swarms of bees were humming; a gentle, fresh, and odoriferous wind was blowing agreeably.
śakro 'hamasmi devendrastvatsamīpamupāgataḥ / rājovāca-svāgatam /	Suddenly Sakra, the Lord of the Devas, presented himself before the king.
ājñāpyatāṃ kenārtha iti /	Being asked who he was, he answered: a.
sa upacārapuraḥsaramukto rājānaṃ punaruvāca-	After being thus complimented, he again addressed the king: b.
varaṃ vṛṇīṣva rājarṣe yadicchasi taducyatām // atha sa rājā pradānasamucitatvādanabhyastayācñākārpaṇyamārgo vidhṛtya vismayaśauṭīryamenamuvāca-	Choose some boon, holy prince (rājarṣi); say on what thou desirest. Now the king being ever wont to give, and having never trodden the way of miserable begging, in conformity with his astonishment and his lofty mind spoke to him:,.
prabhūtaṃ me dhanaṃ śakra śaktimacca mahadbalam / andhabhāvāttvidānīṃ me mṛtyurevābhirocate //	Great is my wealth, Śakra, my army is large and strong; my blindness, however, makes death welcome to me.
api ca pṛcchāmi tāvadbhavantam /	But this thou must tell me:.
imāmavasthāṃ gamitasya yācakaiḥ kathaṃ nu te saṃprati teṣu mānasam / pracakṣva tattāvadalaṃ nigūhituṃ vrajeśca saṃpratyapanīya tāṃ yathā // rājovāca- ko 'yamasmān vikatthayitumatrabhavato nirbandhaḥ? api ca devendra śrūyatām-	It is the mendicants who have caused thee to come in this state; how is it that thy mind is occupied with them even now? Say on! do not hide the truth from me and thou mayst take the way to immediate cure. The king replied: Why dost thou insist upon my boasting myself? Hear, however, Lord of the Devas.
āśīrmayāṇīva mama priyāṇi yathā tathodetu mamaikamakṣi // atha tasya rājñaḥ satyādhiṣṭhānabalātpuṇyopacayaviśeṣācca vacanasamanantaramevendranīlaśakalākrāntamadhyamiva nīlotpaladalasadṛśamekaṃ cakṣuḥ prādurabhavat /	As surely as the supplicatory language of begging people both now and before is as pleasing to my ears as the sound of benedictions, so surely may one eye appear to me! No sooner had the king pronounced these words than by the power of his firm veracity and his excellent store of meritorious actions one eye appeared to him, resembling a piece of a lotus-petal, encompassing a pupil like sapphire.
prādurbhūte ca tasminnayanāścarye pramuditamanāḥ sa rājā punarapi śakramuvāca-	Rejoiced at this miraculous appearance of his eye, the king again spoke to Śakra:.
yaścāpi māṃ cakṣurayācataikaṃ tasmai mudā dve nayane pradāya / prītyutsavaikāgramatiryathāsaṃ dvitīyamapyakṣi tathā mamāstu //	And as surely as, after giving away both eyes to him who asked but one, my mind knew no other feeling but the utmost delight, so surely may obtain also the other eye!.
udīritā harṣaparītamānasairmahārddhibhirbhūtagaṇaiḥ savismayaiḥ /	From all parts were heard voices of praise, uttered by crowds of beings endowed with great magic power.
nṛpasya karmātiśayasavāśrayāḥ samantataḥ śuśruvire giraḥ śubhāḥ // aho bataudāryamaho kṛpālutā viśuddhatā paśya yathāsya cetasaḥ / aho svasaukhyeṣu nirutsukā matirnamo 'stu te 'bhyudgatadhairyavikrama //	Filled with joy and admiration, they glorified the great exploit of the king in such exclamations: Oh, what loftiness! what compassion! see This way is the Act of Truth, as Hardy, Manual of Buddhism, calls it. In the Pāli Jātaka, Sakka incites the king to it in plain terms. Other instances of the saccakiriyā, as it is styled in the Pāļi, will occur in Stories,,.
amogharūpā bata puṇyasaṃcayāścirasya dharmeṇa khalūrjitaṃ jitam //	It was spring when the miracle happened, as is to be inferred from the flowers being mentioned above..
na no na vidito rājaṃstava śuddhāśayāśayaḥ / evaṃ nu pratidatte te mayeme nayane nṛpa //	Thy true feeling was not hidden from me, pure-hearted king; so have but rendered thee these eyes of thine.
samantādyojanaśataṃ śailairapi tiraskṛtam / draṣṭumavyāhatā śaktirbhaviṣyatyanayośca te // ityuktvā śakrastatraiva cāntardadhe /	And by means of them thou wilt have the unencumbered power of seeing in all directions over one hundred of yojanas, even beyond mountains. Having said these words, Sakra disappeared on the spot.
atha bodhisattvo vismayapūrṇamanobhirmandamandanimeṣapravikasitanayanairamātyairanuyātaḥ pauraiścābhivīkṣyamāṇo jayāśīrvacanapuraḥsaraiśca brāhmaṇairabhinandyamānaḥ puravaramucchritadhvajavicitrapatākaṃ pravitanyamānābhyudayaśobhamabhigamya parṣadi niṣaṇṇaḥ sabhājanārthamabhigatasyāmātyapramukhasya brāhmaṇavṛddhapaurajānapadasyaivamātmopanāyikaṃ dharmaṃ deśayāmāsa-	Then the Bodhisattva, followed by his officials, whose wide-opened and scarcely winking eyes indicated the astonishment that filled their minds, went up in procession to his capital. That town exhibited a festival attire, being adorned with hoisted flags and manifold banners, the citizens looking on and the Brāhmans praising the monarch with hails and benedictions. When he had seated himself in his audience- hall, in the midst of a great crowd, made up of the ministers in the The sudden appearance of these officials and ministers is somewhat strange here.
ko nāma loke śithilādaraḥ syāt kartuṃ dhanenārthijanapriyāṇi / divyaprabhāve nayane mameme pradānapuṇyopanate samīkṣya // anekaśailāntaritaṃ yojanānāṃ śatādapi / adūrasthitavispaṣṭaṃ dṛśyaṃ paśyāmi sarvataḥ //	Who in the world, then, should be slow in satisfying the wants of the mendicants with his wealth, who has beheld how have obtained these eyes of mine, endowed with divine power, in consequence of charity-gathered merit? In the circumference of one hundred of yojanas see everything, though hidden by many mountains, as distinctly as if it were near.
