Vasubandhu: Triṃśikāvijñaptikārikā	Trimsikavijnapti of the Vasubandhu with Bhasya of the acarya Sthiramati
samāpattidvayam asaṃjñisamāpattir nirodhasamāpattiś ca /	The two samāpattis are asamjnisamāpatti and nirodhasamāpatti.
tṛtīyād dhyānād vītarāgasyordhvam avītarāgasya niḥsaraṇasaṃjñāpūrvakeṇa manasikāreṇa manovijñānasya tatsaṃprayuktānāñ ca caittānāṃ yo nirodhaḥ so 'trāsaṃjñisamāpattir ity ucyate /	As for the former, so asamjnisamāpatti is called the suppression of the manovijnāna, together with the mental dharmas accompanying it, as a result of attention in the concept of escape on the part of a non-dispassionate third dhyana.This suppression of the emergence of the manovijnana with its accompaniment is a special state of the substratum.
sa ca samāpatticittād anantarañ cittāntarotpattiviruddha āśrayaḥ prāpyata iti samāpattir ity ucyate /	And that aśraya, which is opposed to the arising of other consciousnesses after samāpatti consciousness, 'is attained', therefore it is called samāpatti.
nirodhasamāpattir ākiñcanyāyatanavītarāgasya śāntavihārasaṃjñāpūrvakeṇa manasikāreṇa sasaṃprayogasya manovijñānasya kliṣṭasya ca manaso yo nirodhaḥ	Nirodhasamāpatti is the suppression of the contaminated manas and the manovijnana and its accompaniment due to the attention, in the terms of the śāntavihāra, on the part of a dispassionate person of the äkincanyāyatana.
iyam apy asaṃjñisamāpattivad āśrayasyāvasthāviśeṣe prajñapyate /	upapatti "a birth in an imagined higher world of eternal trance."Aśraya can here factually only be the alayavijnana.
acittakaṃ middhaṃ gāḍhamiddhopahatatvād āśrayasya tāvatkālaṃ manovijñānāpravṛtter acittakam ity ucyate / acittikā mūrcchā /	Patti given as a name of a special condition of the substrate. Unconscious absent-mindedness: because the manovijnana does not appear during the period when the individual is afflicted with profound absent-mindedness, it is called unconscious.
āgantukenābhighātena vātapittaśleṣmavaiṣamyeṇa vā yad āśrayavaiṣamyaṃ manovijñānapravṛttiviruddhaṃ tatrācittikā mūrcchopacaryate /	Unconscious fainting: the morbid state of the individual, whether from accidental injury or disturbance of the three dhatus: wind, bile, phlegm, is incompatible with the practice of manovijnana.
etāḥ pañcāvasthā varjayitvā tadanyāsu sarvāsv avasthāsu manovijñānapravṛttir veditavyā /	The term 'conscious designation' is applied to this. In all states except the five above, the manovijnana functions.
evam āsaṃjñikādiṣu manovijñāne niruddhe tadapagame punaḥ kuta utpadyate yatas tasya kālakriyā na bhavati /	If in the āsamjnika etc. the manovijnana is suppressed, then from what does it arise again after cessation of these?
tat punar ālayavijñānād evotpadyate /	It arises again from the alayavijnana;
tad dhi sarvavijñānabījakam iti /	for that contains the germs of all vijnanas.
yatra vijñānapariṇāme ātmadharmopacāraḥ sa punas tridhety uddiśya vistareṇa trividho 'pi nirdiṣṭaḥ / idānīm ātmadharmopacāro yaḥ pravartate sa vijñānapariṇāma eva na vijñānapariṇāmāc ca pṛthag asty ātmā dharmā ceti yat pratijñātaṃ tatprasādhanārtham āha /	The threefold modification of consciousness mentioned at the outset, to which the self and the elements of being are transferred, has been explained in detail.Our contention that what is called the transference of the self and the elements of existence is only a modification of consciousness, and that no self and elements of existence exist apart from it, is now to be proved.
vijñānapariṇāmo 'yaṃ vikalpo yad vikalpyate /	This modification of consciousness is imaginary;
tena tan nāsti tenedaṃ sarvaṃ vijñāptimātrakam // 17	what is presented through these is not a being.
iti / yo 'yaṃ vijñānapariṇāmas trividho 'nantaram abhihitaḥ so 'yaṃ vikalpaḥ / adhyāropitārthākārās traidhātukāś cittacaittā vikalpa ucyate / yathoktam /	What has previously been taught as the threefold modification of consciousness is imaginary conception. This is what is called the elements of existence of the three dhātus, consciousness and the mental, which has the form of a thing transferred to them.
abhūtaparikalpas tu cittacaittās tridhātukā iti /	In the system of the Sarvastivādins they are special dharmas and belong to the rupa-citta-viprayukta-samskaras.
vastu tan nāstīty ataḥ sa vijñānapariṇāmo vikalpa ucyate / asadālambanatvāt /	The words behind yat tasya kalakriya na bhavati, 'that it doesn't work temporarily', I take as a gloss on tadapagame.
kathaṃ punar etad vijñāyate tadālambanam asad iti /	"Consciousness, the mental pertaining to the three dhātus, all this is delusion of something non-existent."
yad dhi yasya kāraṇaṃ tasmin samagre cāviruddhe ca tad utpadyate nānyathā / vijñānañ ca māyāgandharvanagarasvapnatimirādāv asaty apyālambane jāyate / yadi ca vijñānasyālambanapratibaddha utpādaḥ syād evaṃ sati māyādiṣv arthābhāvān na vijñānam utpadyate / tasmāt pūrvakān niruddhāt tajjātīyavijñānād vijñānam utpadyate / na bāhyād arthāt tasminn asaty api bhāvāt /	Which by that threefold delusion consisting in the alayavijnana, the contaminated manas and the pravṛttivijnanas, together with their accompaniments is imagined scene, self, things like skandhas, dhātus, āyatanas, etc.That is not existent, therefore the modification of consciousness is called imaginary conception, because its object is nonexistent, for if the cause of something is complete and unimpeded, then arises, not from something else Consciousness also arises with respect to a non-existent object as in illusion, mirage, dream, timira etc. But if the arising of consciousness were linked to the object, then in illusion etc. there would be no consciousness arise because the object in question is not there Therefore a consciousness arises from a similar, earlier and vanished object, but not from an external object, for also in the absence of such it is there.
dṛṣṭā cābhinne 'py arthe pratipattṝṇāṃ parasparaviruddhā pratipattiḥ / na caikasya parasparaviruddhānekātmakatvaṃ yujyate /	It is well known that different people get contradictory impressions of one and the same object; but the same thing cannot have contradictory peculiarities.
tasmād adhyāropitarūpatvād vikalpasyālambanam asad iti pratipattavyam /	Therefore it must be admitted that the object of the imagined conception is not existent, because it is essentially mistranslated.
anena tāvat samāropāntaṃ parihṛtyāpavādāntaparijihīrṣayā āha / tenedaṃ sarvaṃ vijñāptimātrakam (17cd) iti / teneti tasmāt / yasmāt pariṇāmātmakena vikalpena yad vikalpyate tena tan nāsti tasmād viṣayābhāvāt sarvaṃ vijñaptimātrakam /	With this he has refuted the doctrine of correct transmission; now he says, to refute the doctrine of denial (of our principle): Therefore all is this pure consciousness.Therefore, because that which is represented by the imaginary idea, which in its essence is a modification, is nothing existing, therefore, in the absence of an object, everything is pure consciousness.
sarvam iti traidhātukam asaṃskṛtañ ca /	Everything means what belongs to the three dhātus and the eternal.
mātraśabdas tadadhikaviṣayavyavacchedārthaḥ /	The Word An eye disease. vijnaptimātra; vijnanamātra is used for this in v.
kakāraḥ pādapūraṇārthaḥ /	ka in mätraka serves to fill the pāda.
yadi sarvaṃ vijñaptimātrakam eva na tato 'nyaḥ kartā karaṇaṃ vāsti kathaṃ mūlavijñānād anadhiṣṭhitād asati karaṇe vikalpāḥ pravartanta ity āha	If everything is merely consciousness, and there is no different agent and causa efficiens, how then do the ideas arise from the primal consciousness, which is not guided by anything, in the absence of a causa efficiens?
sarvabījaṃ hi vijñānaṃ pariṇāmas tathā tathā / yāty anyonyavaśād yena vikalpaḥ sa sa jāyate // 18	Answer: For consciousness contains the seeds of everything; the modification develops through mutual influence in such a way that this or that idea arises.
tatra sarvadharmotpādanaśaktyanugamāt sarvabījaṃ vijñānam ity ālayavijñānam /	Because it possesses the ability to generate all dharmas, it is containing all germs.'Consciousness' means: alayavijnana.
vijñānaṃ hy asarvabījam apy astīty ataḥ sarvabījam ity āha /	Because there is also consciousness other than that containing all germs, he says 'containing all germs'.
vijñānād anyad api kaiścit pradhānādi sarvabījaṃ kalpyata iti vijñānam ity āha /	Others have something else instead of consciousness, e.g. B. the Pradhana, accepted as 'containing all germs'; therefore he says 'consciousness'.
atha vā / ekapadavyabhicāre 'pi viśeṣaṇaviśeṣyatvadarśanān nāyaṃ doṣaḥ /	Or: is not incorrect even if a word is imprecise because the relation of subject and predicate is expressed.
pariṇāmas tathā tathā yāty anyonyavaśād iti / (18bc)	The modification develops by mutual influence in this way or that'.
pūrvāvasthāto 'nyathābhāvaḥ pariṇāmaḥ /	Modification is being different from the previous state.
tathā tatheti tasya tasya vikalpasyānantarotpādanasamarthāvasthāṃ prāpnotīty arthaḥ /	In this or that way' means that it attains a state capable of immediately producing this or that idea.
tathā hi cakṣurādivijñānaṃ svaśaktiparipoṣe vartamāne śaktiviśiṣṭasyālayavijñānapariṇāmasya nimittaṃ so 'pi ālayavijñānapariṇāmaś cakṣurādivijñānasya nimittaṃ bhavati / evam anyonyavaśād yasmād ubhayaṃ pravartate tasmād ālayavijñānād anyenānadhiṣṭhitād anekaprakāro vikalpaḥ sa sa jāyate /	By mutual influence', as follows: the mental consciousness, etc. , whose faculty has reached full maturity, acts as a cause on the modification of the alayavijnana, which in turn is endowed with a faculty, and this modification of the alayavijnana also acts on the face consciousness, etc. Since both function in this way by mutual influence, out of the alayavijnana directed by neither, this or that conception arises.How in the present life the pravṛttivijnanas arise from the alayavijnana is now explained.
idānīṃ vijñaptimātre anāgataṃ janma vartamānajanmanirodhe sati yathā pratisaṃdhīyate tat pradarśayann āha /	Now he wants to show how (assuming) that everything is only illusion (consciousness), after the extinction of the present life a future one follows.
karmaṇo vāsanā grāhadvayavāsanayā saha / kṣīṇe pūrvavipāke 'nyaṃ vipākaṃ janayanti tat // 19	The latent impressions of karma in connection with the latent impression of both illusions after the disappearance of the former karma effect produce another in him.
iti / puṇyāpuṇyāneñjyacetanā karma /	'Karma' is pure, impure and neutral will.
tena karmaṇā yad anāgatātmabhāvābhinirvṛttaye ālayavijñāne sāmarthyam āhitaṃ sā karmavāsanā /	Latent impression of karma is the ability deposited by it in the alayavijnana to bring forth a future existence.
grāhadvayaṃ grāhyagraho grāhakagrāhaś ca /	The two illusions are the illusion of the object and that of the subject.
tatra vijñānāt pṛthag eva svasantānādhyāsitaṃ grāhyam astīty adhyavasāyo grāhyagrāhaḥ /	The illusion of the object is the belief that there is an object separate from consciousness, which is understood by the santāna of itself.
tac ca vijñānena pratīyate vijñāyate gṛhyata iti yo 'yaṃ niścayaḥ sa grahakagrāhaḥ /	The illusion of the subject is the belief that the object is perceived, recognized, grasped by consciousness.
pūrvotpannagrāhyagrāhakagrāhākṣiptam anāgatatajjātīyagrāhyagrāhakagrāhotpattibījaṃ grāhadvayavāsanā / tatra karmavāsanābhedād gatibhedenātmabhāvabhedo bījabhedād aṅkurabhedavat / grāhadvayavāsanā tu sarvakarmavāsanānāṃ yathāsvam ākṣiptātmabhāvotpādane pravṛttānāṃ sahakāritvaṃ pratipadyate /	The latent impression of both illusions is a germ which, brought about by earlier illusions of the object and the subject, gives rise to future, similar illusions of the object and the subject.According to the latent impression of karma, existence in the different classes of beings is different, as is the seedling according to the seed. The latent impression of both illusions, however, becomes a contributing cause for the latent impressions of all karma, which according to their kind are active in the production of the effected existence, such as the sun etc. in the emergence of the seedling.
evañ ca na kevalāḥ karmavāsanā grāhadvayavāsanānanugṛhītā vipākañ janayantīty uktaṃ bhavati /	And so it has not been said that the latent impressions of karma alone produce the karma effect without the support of the latent impression of both illusions;
ata evāha / grahādvayavāsanayā saheti /	but the author says: 'in connection with the latent impression of both illusions'.
kṣīṇe pūrvavipāke 'nyaṃ vipākaṃ janayanti tad iti / (19cd)	from janayati, he generates, grasp; they cause the äl. generate another vipāka.
pūrvajanmopacitena karmaṇā ya iti vipāko 'bhinirvṛttas tasmin kṣīṇa ity ākṣepakāle paryantāvasthite yathābalaṃ karmavāsanā grāhadvayavāsanāsahitā upabhūktād vipākād anyaṃ vipākaṃ tad evālayavijñānaṃ janayanti / ālayavijñānavyatirekeṇānyasya vipākasyābhāvāt /	They produce another effect in him after the previous karma effect has disappeared, ie when the karma effect produced in the present one by the karman accumulated in one has passed away. In the final moment of the time of action of earlier karma, the latent impressions of karma, in conjunction with those of both illusions, produce in the alayavijnana, according to their strength, a different karma effect than the one just consumed; for there is then no other consciousness than the alayavijnana.
kṣīṇe pūrvavipāka ity anena śāśvatāntaṃ pariharati / anyaṃ vipākaṃ janayantīty ucchedāntam /	With the words after the previous karma effects have dwindled he rejects the doctrine of the permanence of the soul, and with the words they bring about another karma effect in him the doctrine of their cessation at death.
cakṣurādivijñānavyatiriktam ālayavijñānam asti / tad eva ca sarvabījakaṃ na cakṣurādivijñānam iti kuta etat /	Different from face consciousness etc. there is an alayavijnana and that contains the germs of everything but not the other types of consciousness face consciousness etc. How is that established?
āgamād yuktitaś ca / uktaṃ hi bhagavatābhidharmasūtre / anādikāliko dhātuḥ sarvadharmasamāśrayaḥ / tasmin sati gatiḥ sarvā nirvāṇādhigamo 'pi ca //	By scripture and logical proof.For the Blessed One says in the Abhidharmasūtra: 'One reality without temporal beginning is the collection of all dharmas; if that is, then there is birth in all classes of beings or attainment of nirvana."
na cālayavijñānam antareṇa saṃsārapravṛttir nivṛttir vā yujyate /	Without an alayavijnana neither continuation of samsāra nor cessation is possible.
tatra saṃsārapravṛttir nikāyasabhāgāntareṣu pratisandhibandhaḥ /	Continuation of samsāra is the moment of conception in other existences.
nivṛttiḥ sopadhiśeṣo nirupadhiśeṣaś ca nirvāṇadhātuḥ /	Cessation is the reality of nirvāṇa with and without residue.
tatrālayavijñānād anyat saṃskārapratyayaṃ vijñānaṃ na yujyate /	Now only the alayavijnana, no other vijnana caused by the samskāras is possible.
saṃsārasyālayavijñānānabhyupagame pratisandhivijñānaṃ vā saṃskārapratyayaṃ parikalpyeta saṃskāraparibhāvitā vā ṣaḍ vijñānakāyāḥ / tatra ye saṃskārāḥ prātisaṃdhikavijñānapratyayatveneṣyante teṣāñ ciraniruddhatvān	In the absence The first limbs of the pratītyasamutpāda are: avidya, samskāra, vijnana, nâmarūpa, ṣaḍāyatana, Sparsa Stcherbatsky CC gives the following explanations: zu delusion, first moment of a new life, the moment of conception, the five skandhas in the embryo before the formation of the organs, formation of the organs, organs and consciousess begin to co-operate.
[Tvbh_118] katamad anyad vijñānapratyayaṃ nāmarūpam / yad uttarakālam iti cet tasya prātisandhikanāmarūpāt ka ātmātiśayo yatas tad eva vijñānapratyayaṃ na pūrvam / pūrvañ ca saṃskārapratyayaṃ nottaram iti / ataś ca saṃskārapratyayaṃ nāmarūpam evāstu kiṃ pratisandhivijñānenāṅgāntareṇa parikalpitena / tasmān na pratisandhivijñānaṃ	Of importance for understanding what follows is Stcherbatsky's remark at the end: “the five skandhas are present during the whole process; the different stages receive their names from the prominent dharma.Besides the vijnana caused by the samskaras, there is no continuation of the samsāra. If one denies an ālayavijnana, one could either assume a pratisandhi-vijnana caused by the samskāras or the six categories of consciousness fully filled by the samskāras. Those samskaras responsible for pratisandhi, which are regarded as the cause of vijnana, have long since been suppressed, what is suppressed is not there; and something that is not cannot be a cause; therefore pratisandhi-vijnana caused by the samskāras is not possible. But in pratisandhi there is also nämarūpa, not just vijnana. What evidence is there that only the vijnana is caused by the samskaras, not nāmarūpa? Therefore it must be said that nāmarūpa is caused by the samskāras, but not the vijnana. What other nãmarūpa should be caused by vijnana? A later one? But what plus in its nature does it have over the one responsible for the pratisandhi that it should be caused by the vijnana, not the earlier, and the earlier should be caused by the samskāras and not the later? Therefore, as caused by the samskāras, nāmarupa is to be considered, to which an imaginary middle term pratisandhivijnana.Therefore, pratisandhi-vijnana induced by the samskaras is not possible.
saṃskāraparibhāvitā vā ṣaḍvijñānakāyā api na saṃskārapratyayaṃ vijñānaṃ yujyate /	The six categories of consciousness fully filled by the samskaras are also not possible as the consciousness caused by the samskaras.
kiṃ kāraṇam /	Why?
na hi vijñānaṃ vipākavāsanāṃ niṣyandavāsanāṃ vā svātmany ādhātuṃ samarthaṃ svātmani kāritravirodhāt /	For the vijnana is not able to lay down in itself the latent impression of karmic effect and that of uniform development because it is a logical contradiction that something in itself produces something;
nāpy anāgate tasya tadānutpannatvāt /	nor in a future vijnana, because that at that time had not yet arisen and the unarisen is not;
nāpy utpanne pūrvasya tadā niruddhatvāt /	nor in an existing one, because at that time it was already un.
acittikāsu ca nirodhasamāpattyādyavasthāsu punaḥ saṃskāraparibhāvitacittotpattyasaṃbhavād vijñānapratyayaṃ nāmarūpaṃ na syāt / tadabhāvāṭ ṣaḍāyatanaṃ na syāt / evaṃ yāvaj jātipratyayaṃ jarāmaraṇaṃ na syāt / tataś ca saṃsārapravṛttir eva na syāt / tasmād avidyāpratyayāḥ saṃskārās tadadhivāsitañ cālayavijñānaṃ saṃskārapratyayaṃ vijñānam /	Furthermore, because in nirodhasamāpatti and the other unconscious states there could not again arise a 'consciousness established by the samskaras, there would be no nämarupa caused by vijnana, consequently neither would there be a ṣaḍāyatana caused by nāmarüpa, and so on, bis: the jarāmarana caused by jäti would not exist.Therefore the following construction is not objectionable: Caused by avidya are the samskaras, the pervaded by these alayavijnana is the vijnana caused by the samskaras, caused by it is namarupa in pratisandhi.
saṃsāranivṛttir api ālayavijñāne asati na yujyate /	Also the cessation of samsara is not possible if there is no alayavijnana.
saṃsārasya hi karmakleśāś ca kāraṇaṃ tayoś ca kleśāḥ pradhānam /	Namely, the cause of samsara is karma and the klesas, and of these, the klesas are the main factor.
tathā hi kleśādhipatyāt karma punarbhavākṣepasamarthaṃ bhavati nānyathā /	Because the klesas are efficient cause, the karma becomes capable of bringing about rebirth in no other way.
tathākṣiptapunarbhavo 'pi karma kleśādhipatyād eva punarbhavo bhavati nānyathā / evañ ca kleśā eva saṃsārapravṛtteḥ pradhānatvān mūlam /	And so the rebirth-causing karma becomes rebirth just because the klesas are the efficient cause, in no other way. And in this way the klesas as the main factor are the mula of the continuation of samsara.
atas teṣu prahīṇeṣu saṃsāro vinivartate nānyathā / na cālayavijñānam antareṇa tatprahāṇaṃ yujyate /	Therefore, when these have disappeared, samsara ceases, in no other way. And their disappearance is not possible without the alayavijnana.
kathaṃ punar na yujyate /	But why isn't that possible?
saṃmukhībhūto vā kleśaḥ prahīyate bījāvastho vā /	A klesa fades away either when it is about to be realized or while it is still in the germ state.
tatprahāṇamārgasthānād bījāvastho 'pi naiva prahīyate /	Nobody accepts the former.But even in the germ state of those who linger on the path of annihilation it does not disappear.
na hi pratipakṣāt tadānīṃ kiñcid anyad abhyupagamyate yatra kleśabījaṃ vyavasthitaṃ tatpratipakṣeṇa prahīyeta /	Because for that time one knows nothing else apart from its opponent, where located it should be destroyed by its opponent. Before şadāyatana, nämarūpapratyayam has apparently failed.
atha pratipakṣacittam eva kleśabījānuṣaktam iṣyate /	Woods translates pervaded by subconscious impressions. So to read for samskāro!
na hi tat kleśabījānuṣaktam eva tatpratipakṣo bhavitum arhati / na cāprahīṇakleśabījānāṃ saṃsāranivṛttiḥ saṃbhavati /	to sthānā is not necessary. 52kleśa germ sticks? But that to which the kleśa-seed is attached cannot be opposed to the kleśa-seed, and samsāra does not cease for those whose kleśa-seed has not yet disappeared.
tasmād avaśyam ālayavijñānaṃ tadanyavijñānasahabhūbhiḥ kleśopakleśair bhāvyate svabījapuṣṭyādhānata ity abhyupeyam / ye punaś cittata eva saṃtatipariṇāmaviśeṣād yathābalaṃ vāsanāvṛttilābhe sati kleśopakleśāḥ pravartante teṣāñ cālayavijñānavyavasthitaṃ bījaṃ tatsahabhuvā kleśapratipakṣamārgeṇāpanīyate /	Therefore, one must assume that the alayavijnana is nourished by kleśas and upakleśas associated with other kinds of consciousness receiving strengthening of their own germs.Which kleśas and upakleśas, however, would emerge from consciousness in a special modification of its existence, when a latent impression gains validity depending on its strength, also their germ dormant in the älayayijnāna becomes hostile through the coexisting, the kleśas path is destroyed, and when this is destroyed, the kleśas do not arise again through the same substratum (ie in the same individual).
pūrvakarmākṣiptajanmanirodhe ca tato 'nyajanmāpratisaṃdhānān nirupadhiśeṣo nirvāṇadhātuḥ /	In this way the reality of nirvāņa is attained 'with a residue', and after suppressing the life caused by previous karma because no other life attaches to it, the reality of nirvāņa 'without residue'.
na hi karma vidyamānam api kleśeṣu prahīṇeṣu sahakārikāraṇabhāvāt punarbhavam abhinirvartayituṃ samartham /	Because even after the annihilation of the kleśas, even remaining karma is unable to bring about rebirth for lack of a contributing cause.
evam ālayavijñāne sati saṃsārapravṛttir nivṛttiś ca nānyathety avaśyaṃ cakṣurādivijñānavyatiriktam ālayavijñānaṃ tad eva ca sarvadharmabījānugataṃ na cakṣurādivijñānam ity abhyupagantavyam / vistaravicāras tu pañcaskandhakopanibandhād veditavyaḥ //	Since, according to this statement, there is a continuation of samsāra and its cessation only on condition of an alayavijnana, and in no other way, it is necessary to admit that there is an alayavijnana distinct from face consciousness, etc., and that it alone is the germ of all dharmas, but not face consciousness, etc.The detailed discussion of this may be found in treatise on the five skandhas.
yadi vijñaptimātram evedaṃ kathaṃ na sūtravirodhaḥ /	If everything is supposed to be pretense, isn't that contrary to the sūtras?
sūtreṣu hi trayaḥ svabhāvā uktāḥ parikalpitaḥ paratantraḥ pariniṣpannaś ca /	For in the Sūtras three kinds of 'own essence' are mentioned: imagined, relative and absolute.
nāsti virodhaḥ /	This is not a contradiction.
vijñaptimātra	viz. pravṛttivijnāna.
eva sati svabhāvatrayavyavasthānāt /	One could render these expressions as subjective, objective, absolute.
katham ity ata āha / yena yena vikalpena yad yad vastu vikalpyate /	How, he says, By whatever imaginary conception a thing is represented, that is its imaginary svabhāva;
parikalpita evāsau svabhāvo na sa vidyate // 20	there isn't.
ādhyātmikabāhyavikalpyavastubhedena vikalpānām ānantyaṃ pradarśayann āha / yena yena vikalpeneti / yad yad vastu prakalpyate / ādhyātmikaṃ bāhyaṃ vāntaśo yāvad buddhadharmā api / parikalpita evāsau svabhāva iti /	Showing after the variety of internal and external things to the imagination their infinite number, he says: 'By what imaginary conception a thing is represented': internal or external up to and including the Buddhadharmas.That is just their imaginary svabhāva'.
yad vastu vikalpyaviṣayas tad yasmāt sattābhāvān na vidyate / tasmāt tad vastu parikalpitasvabhāvam eva / na hetupratyayapratibaddhasvabhāvam /	Because a thing which is the object of imaginary conception does not exist for lack of true being, therefore that thing is of imaginary svabhāva only, not one based on causal condition.
tathā hy ekasmin vastuni tadabhāve ca parasparaviruddhānekavikalpapravṛttir dṛṣṭā /	Namely as follows: as is well known, in the case of one and the same thing or in the absence of one, several contradictory imaginary ideas arise;
na ca tad ekaṃ vastu tadabhāvo vā parasparaviruddhānekasvabhāvo yujyate /	but it is not possible for a thing or its absence to have several contradictory svabhāvas.
tasmāt sarvam idaṃ vikalpamātram eva tadarthasya parikalpitarūpatvāt /	Therefore all this is mere pretense, because its object is of imaginary substance.
uktaṃ ca sūtre /	Thus it is said in the Sutra: 'O Subhūti!
na khalu punaḥ subhūte dharmās tathā vidyante yathā bālapṛthagjanā abhiniviṣṭā iti /	The dharmas are indeed not such as children and the common man firmly believe."
parikalpitānantaraṃ paratantrasvabhāvo vaktavya iti / ata āha / paratantrasvabhāvas tu vikalpaḥ pratyayodbhavaḥ / 21ab atra ca vikalpa iti paratantrasvarūpam āha /	Since after the imaginary relative character must be discussed, he says The conception of relative character arising from conditions. By conception' he means here those whose nature is dependent on something else.
paratantrābhidhānapravṛttinimittam āha / tatra parikalpaḥ kuśalākuśalāvyākṛtabhedabhinnās traidhātukāś cittacaittāḥ / yathoktam / abhūtaparikalpas tu cittacaittās tridhātukā iti /	'Conditional arising', thus giving the reason for the term paratantra.Delusion are the good, evil and neutrals pertaining to the three dhātus, the mind and the mental Thus it is said: "Consciousness, the mental pertaining to the three dhātus, all prakalpyate instead of vikalpyate probably a lapsus.
parair hetupratyayais tantryata iti paratantra utpādyata ity arthaḥ /	It is 'regulated' by other causes that is paratantra. The sense is 'it is brought forth'.
svato 'nyahetupratyayapratibaddhātmalābha iti yāvaduktaṃ bhavati / uktaḥ paratantraḥ /	This roughly says: its coming into appearance is bound up with other causes, not in itself.
niṣpannas tasya pūrveṇa sadā rahitatā tu yā // 21cd	The absolute is the ever-free being from that which preceded it.
avikārapariniṣpattyā sa pariniṣpannaḥ /	parinişpanna it is called because it arose without change.'
tasyeti paratantrasya pūrveṇeti parikalpitena tasmin vikalpe grāhyagrāhakabhāvaḥ parikalpitaḥ /	that the paratantra 'previous', the parikalpita. In the latter conception the relation of subject and object is an imaginary one.
tathā hi tasmin vikalpe grāhyagrāhakatvam avidyamānam eva parikalpyata iti parikalpitam ucyate / tena grāhyagrāhakeṇa paratantrasya sadā sarvakālam atyantarahitatā yā sa pariniṣpannasvabhāvaḥ //	Namely, in the latter conception the relation of subject and object, which in reality does not exist at all, is imaginary, that is why it is called an imaginary one from this subject and object of paratantra 'forever' total freedom at all times, that is the absolute character.
ata eva sa naivānyo nānanyaḥ paratantrataḥ / 22ab	Therefore it is neither another nor any other than the paratantra.
sā ca dharmatā dharmān nānyā nānanyā yujyate / pariniṣpannaś ca paratantradharmatety ataḥ paratantrāt pariniṣpanno nānyo nānanya iti boddhavyaḥ /	The absolute is the paratantra's constant freedom from the imaginary character.The absolute is the dharmatã of the paratantra, from which it can be inferred that the parinişpanna is 'neither another nor not another' than the paratantra.
yadi hi pariniṣpannaḥ paratantrād anyaḥ syād evaṃ na parikalpitena paratantraḥ śūnyaḥ syāt /	For if it were other than the paratantra, it could not be entirely free of the imaginary.
athānanya evam api pariniṣpanno na viśuddhālambanaḥ syāt paratantravat saṃkleśātmakatvāt /	on this assumption, the parinişpanna could not have a pure object because, like the paratantra, it would be contaminated by the kleśas;
evaṃ paratantraś ca na kleśātmakaḥ syāt / pariniṣpannād ananyatvāt pariniṣpannavat /	thus the paratantra could not be contaminated by the kleśas because it would be none other than the parinişpanna, like this itself.
anityatādivad vācyo 22c nānyo nānanya iti vākyaśeṣaḥ /	It is to be explained like immortality etc. To add 'neither another nor not another';
yathā hy anityatā duḥkhatānātmatā ca / saṃskārādibhyo nānyā nānanyā / yadi saṃskārebhyo 'nityatā anyā / evaṃ tarhi saṃskārā nityāḥ syuḥ /	as viz. , immortality, suffering, having no-permanent-substrate is neither distinct nor indistinguishable from the samskaras, etc. If immortality were distinguished from samskaras, etc. , then these would be eternal.
athānanyā evam api saṃskārāḥ pradhvaṃsābhāvarūpāḥ syur anityatāvat /	If it were not differentiated, then they would be deprived of their existence like non-eternity.
evaṃ duḥkhatādiṣv api vācyam / yadi grāhyagrāhakabhāvarahitaḥ paratantraḥ katham asau gṛhyate agṛhyamāṇo vā katham astīti vijñāyate / ata āha /	The same is to be done in the case of suffering etc.If the parinispandha the paratantra is said to be free from the relation of subject and object, then how is it apprehended, and without being apprehended, how is it known?
nādṛṣṭe 'smin sa dṛśyate // 22d	Therefore he says: If this is not seen, that is not seen.
nādṛṣṭe 'sminn iti pariniṣpannasvabhāve sa dṛśyata iti paratantraḥ svabhāvaḥ /	If this is not seen, ie the absolute character, that is not seen, ie the relative character.
nirvikalpalokottarajñānadṛśye pariniṣpanne svabhāve adṛṣṭe apratividdhe asākṣātkṛte tatpṛṣṭhalabdhaśuddhalaukikajñānagamyatvāt paratantro 'nyena jñānena na gṛhyate /	If the absolute character, which is visible for the transcendent knowledge free of all concepts nirvikalpa, is not seen, not met, not perceived, the relative character, because it is grasped by the purely worldly knowledge that directly follows that, is no other cognition grasps.
ataḥ pariniṣpanne 'dṛṣṭe paratantro na dṛśyate /	Therefore, if the absolute is not seen, the relative is not seen;
na punar lokottarajñānapṛṣṭhalabdhenāpi jñānena na dṛśyate /	but it is not not seen by the knowledge that follows the transcendent.
tathā nirvikalpapraveśāyāṃ dhāraṇyām uktam / tat pṛṣṭhalabdhena jñānena māyāmarīcisvapnapratiśrutkodakacandranirmitasamān sarvadharmān pratyetīti /	Thus it is said in the Nirvikalpapravesa Dharani: "With the knowledge that follows this, one perceives all dharmas as formed like illusion, the mirage, the dream, the echo, the reflection of the moon in the water".
atra ca dharmāḥ paratantrasaṃgṛhītā abhipretāḥ / pariniṣpannaś cākāśavad ekarasaḥ / jñānañ ca yathoktaṃ nirvikalpena jñānenākāśasamatayā tān sarvadharmān paśyatīti paratantradharmāṇāṃ tathatāmātradarśanāt //	Here by the dharmas are meant those grouped together in relative terms.And the absolute, like the ākāśa, is absolutely uniform, and the cognition as it is said: "With the cognition free from all conceptual one sees all dharmas in the unity of the ākāśa", because of all dharmas of the relative only their Suchness shows.
